228    0.0011	# Extrapolated
298.2535	0.12360375586854461
298.4099	0.12411924882629108
298.5663	0.12463474178403756
298.7226	0.12515023474178402
298.879	0.12566572769953052
299.0352	0.12606666666666666
299.1917	0.12658215962441313
299.3481	0.1270976525821596
299.5044	0.12749859154929577
299.6608	0.12801408450704227
299.8171	0.12847230046948357
299.9735	0.12893051643192488
300.1298	0.12938873239436618
300.2862	0.12990422535211268
300.4426	0.13030516431924885
300.5989	0.13076338028169016
300.7553	0.13122159624413146
300.9116	0.13167981220657277
301.068	0.13213802816901407
301.2243	0.1325962441314554
301.3807	0.13299718309859154
301.537	0.13334084507042254
301.6934	0.13391361502347418
301.8497	0.13431455399061032
302.0061	0.13471549295774649
302.1623	0.13511643192488262
302.3188	0.1355173708920188
302.4751	0.13591830985915493
302.6315	0.1363192488262911
302.7877	0.1367774647887324
302.9442	0.13717840375586857
303.1006	0.13757934272300468
303.2569	0.13798028169014084
303.4133	0.138381220657277
303.5695	0.13866760563380284
303.7259	0.13906854460093895
303.8822	0.1395267605633803
304.0386	0.13992769953051643
304.195	0.1403286384976526
304.3513	0.14072957746478876
304.5077	0.1411305164319249
304.664	0.141531455399061
304.8204	0.14181784037558684
304.9767	0.14227605633802817
305.1331	0.14261971830985917
305.2894	0.14307793427230045
305.4458	0.14347887323943662
305.6021	0.14382253521126762
305.7585	0.1441661971830986
305.9148	0.14456713615023475
306.0712	0.14502535211267603
306.2275	0.14542629107981223
306.3839	0.14582723004694836
306.5402	0.14622816901408453
306.6966	0.14651455399061034
306.8529	0.14691549295774647
307.0093	0.1473164319248826
307.1656	0.14777464788732395
307.322	0.14817558685446008
307.4783	0.14840469483568075
307.6347	0.14886291079812208
307.791	0.14926384976525822
307.9474	0.14960751173708922
308.1037	0.15000845070422536
308.2601	0.1504093896713615
308.4163	0.15081032863849764
308.5728	0.15121126760563383
308.729	0.15149765258215964
308.8855	0.15189859154929578
309.0418	0.1523568075117371
309.1982	0.15275774647887325
309.3545	0.15298685446009389
309.5109	0.15344507042253522
309.6672	0.15384600938967136
309.8235	0.15418967136150236
309.9799	0.1545906103286385
310.1362	0.15499154929577463
310.2926	0.15527793427230047
310.4489	0.15567887323943663
310.6053	0.1560798122065728
310.7616	0.15642347417840374
310.918	0.1568244131455399
311.0743	0.15722535211267608
311.2307	0.1575117370892019
311.387	0.15791267605633802
311.5434	0.15837089201877935
311.6997	0.15865727699530519
311.8561	0.15905821596244132
312.0124	0.15934460093896713
312.1688	0.15974553990610327
312.3251	0.1600892018779343
312.4814	0.16049014084507043
312.6378	0.16089107981220654
312.7941	0.16117746478873238
312.9505	0.16157840375586857
313.1068	0.16192206572769952
313.2631	0.16226572769953052
313.4195	0.16260938967136152
313.5758	0.16301032863849768
313.7322	0.16335399061032865
313.8885	0.1637549295774648
314.0449	0.16404131455399062
314.2013	0.16444225352112676
314.3576	0.16478591549295776
314.5139	0.1651868544600939
314.6703	0.16547323943661973
314.8266	0.16587417840375587
314.983	0.1661605633802817
315.1393	0.166618779342723
315.2957	0.16684788732394365
315.452	0.16719154929577465
315.6084	0.16759248826291082
315.7647	0.16793615023474182
315.9211	0.16833708920187793
316.0774	0.16862347417840376
316.2337	0.1689098591549296
316.3901	0.1693680751173709
316.5464	0.16965446009389673
316.7027	0.16994084507042256
316.8591	0.17028450704225354
317.0155	0.17057089201877937
317.1718	0.17085727699530517
317.3281	0.17120093896713615
317.4845	0.17143004694835684
317.6408	0.17177370892018778
317.7972	0.17211737089201878
317.9535	0.17240375586854462
318.1098	0.17263286384976526
318.2662	0.1730338028169014
318.4224	0.1732056338028169
318.5789	0.17349201877934273
318.7351	0.1738356807511737
318.8915	0.17400751173708923
319.0479	0.1743511737089202
319.2042	0.174637558685446
319.3605	0.1748666666666667
319.5169	0.1751530516431925
319.6732	0.17532488262910798
319.8295	0.17566854460093895
319.9859	0.17584037558685447
320.1421	0.17612676056338028
320.2986	0.17635586854460097
320.4549	0.17669953051643192
320.6112	0.17687136150234745
320.7675	0.17715774647887325
320.9239	0.17732957746478875
321.0802	0.1776732394366197
321.2366	0.1779023474178404
321.3929	0.17813145539906103
321.5492	0.17841784037558686
321.7056	0.17858967136150236
321.8618	0.17893333333333336
322.0182	0.1791051643192488
322.1746	0.1793342723004695
322.3309	0.1796206572769953
322.4872	0.17984976525821597
322.6436	0.18002159624413147
322.7999	0.18036525821596247
322.9562	0.18053708920187791
323.1126	0.18088075117370894
323.2689	0.18105258215962441
323.4252	0.18128169014084505
323.5816	0.1815680751173709
323.7379	0.18179718309859155
323.8942	0.18191173708920189
324.0506	0.18225539906103286
324.2069	0.18248450704225352
324.3633	0.1827136150234742
324.5196	0.18300000000000002
324.6759	0.18311455399061033
324.8323	0.18340093896713616
324.9886	0.18368732394366197
325.1449	0.18391643192488263
325.3013	0.18408826291079813
325.4576	0.18443192488262913
325.6139	0.18460375586854458
325.7703	0.18483286384976527
325.9266	0.18511924882629108
326.0829	0.1852910798122066
326.2393	0.18563474178403755
326.3956	0.18586384976525824
326.5518	0.1860356807511737
326.7083	0.18637934272300472
326.8646	0.18649389671361502
327.0209	0.18683755868544602
327.1773	0.18706666666666666
327.3336	0.1873530516431925
327.49	0.18758215962441316
327.6463	0.187868544600939
327.8026	0.18809765258215963
327.959	0.18838403755868546
328.1153	0.1886131455399061
328.2716	0.18889953051643193
328.428	0.18918591549295774
328.5843	0.1894150234741784
328.7406	0.1897014084507042
328.897	0.18998779342723005
329.0533	0.1902169014084507
329.2097	0.19050328638497654
329.366	0.19084694835680752
329.5223	0.19107605633802818
329.6787	0.19136244131455402
329.835	0.19164882629107982
329.9914	0.19193521126760565
330.1477	0.19227887323943663
330.304	0.19256525821596243
330.4604	0.19285164319248826
330.6167	0.19319530516431926
330.7731	0.19348169014084507
330.9294	0.1937680751173709
331.0857	0.19411173708920187
331.2421	0.1943981220657277
331.3984	0.1946845070422535
331.5548	0.1950281690140845
331.7111	0.19542910798122065
331.8675	0.1957154929577465
332.0238	0.19600187793427232
332.1801	0.1963455399061033
332.3365	0.19674647887323946
332.4928	0.1969755868544601
332.6492	0.19743380281690143
332.8054	0.1977774647887324
332.9619	0.1980638497652582
333.1182	0.19846478873239434
